scientific_name;genus;country_id;locality;ddlat;ddlong;recorded_by;colnum_full;col_day;col_month;col_year;det_by;det_date;institute;herbarium_code;orig_bc;specificEpithet;species_author;collector_id;prefix;sufix;col_date;det_day;det_month;det_year;country;continent;coordinate_id;barcode;colnum;specific_epithet;orig_recby;orig_detby;to_check;to_check_det
Phaeanthus splendens Miq.;Phaeanthus;ID;Jambi, Bukit Duabelas National Park;-1.85;102.650002;<NA>;;;;;;<NA>;<NA>;<NA>;KR1924;0;0;0;;;0;;;;0;0;0;KR1924;nan;splendens;<NA>;Katja Rembold;<NA>;recby_problem
Polyalthia obliqua Hook.f. & Thomson;Polyalthia;ID;Jambi, Bukit Duabelas National Park;-1.85;102.650002;<NA>;;;;;;<NA>;<NA>;<NA>;KR1761;0;0;0;;;0;;;;0;0;0;KR1761;nan;obliqua;<NA>;Katja Rembold;<NA>;recby_problem
Annonaceae;<NA>;ID;Jambi, Bukit Duabelas National Park;-1.85;102.650002;<NA>;;;;;;<NA>;<NA>;<NA>;KR1430;0;0;0;;;0;;;;0;0;0;KR1430;nan;;<NA>;Katja Rembold;<NA>;recby_problem
Fissistigma manubriatum (Hook.f. & Thomson) Merr.;Fissistigma;ID;Jambi, Bukit Duabelas National Park;-1.85;102.650002;<NA>;;;;;;<NA>;<NA>;<NA>;KR2090;0;0;0;;;0;;;;0;0;0;KR2090;nan;manubriatum;<NA>;Katja Rembold;<NA>;recby_problem
Artabotrys suaveolens (Blume) Blume;Artabotrys;ID;Tigapulu Mts., Riau Province, 5 km W. of Talanglakat on Rengat-Jambi Road, Bukit Karampal area.;-0.77;102.53;J. S. Burley, -. Turkirin;1902;5;12;1988;;<NA>;US;US;US 3253274;0;0;0;;;0;;;;0;0;0;US3253274;1902;suaveolens;J. S. Burley, -. Turkirin & et al.;<NA>;, -. Turkirin;recby_problem
Artabotrys suaveolens (Blume) Blume;Artabotrys;ID;Protected forest Wolasi, Wolan Subdistrict, Konawe Selatan District, S.E. Sulawesi.;-4.22572;122.736;E. A. Widjaja, -. Megawati, -. Hamzah;EAW9472;14;4;2011;;<NA>;US;US;US 3665529;0;0;0;EAW;;0;;;;0;0;0;US3665529;9472;suaveolens;E. A. Widjaja, -. Megawati, -. Hamzah & W. Santoso;<NA>;, -. Megawati, -. Hamzah;recby_problem
Friesodielsia biglandulosa (Blume) Steenis;Friesodielsia;ID;Jambi, Bukit Duabelas National Park;-1.85;102.650002;<NA>;;;;;;<NA>;<NA>;<NA>;KR2350;0;0;0;;;0;;;;0;0;0;KR2350;nan;biglandulosa;<NA>;Katja Rembold;<NA>;recby_problem
Fissistigma manubriatum (Hook.f. & Thomson) Merr.;Fissistigma;ID;Jambi, Bukit Duabelas National Park;-1.85;102.650002;<NA>;;;;;;<NA>;<NA>;<NA>;KR2091;0;0;0;;;0;;;;0;0;0;KR2091;nan;manubriatum;<NA>;Katja Rembold;<NA>;recby_problem
Annonaceae;<NA>;ID;Foothills of Gunung Beriun;1.298611;117.545556;East Kalimantan Bogor Edinburgh (2016);68;23;11;2016;;<NA>;E;E;E01122221;0;0;0;;;0;;;;0;0;0;E01122221;68;;East Kalimantan Bogor Edinburgh (2016);<NA>; (2016);recby_problem
Polyalthia Blume;Polyalthia;ID;Trail from basecamp of Gua Tewet;1.025833;117.2575;East Kalimantan Bogor Edinburgh (2016);92;26;11;2016;;<NA>;E;E;E01122208;0;0;0;;;0;;;;0;0;0;E01122208;92;;East Kalimantan Bogor Edinburgh (2016);<NA>; (2016);recby_problem
Uvaria L.;Uvaria;ID;Downstream trail via boat from Gua Tewet camp;1.001111;117.255;East Kalimantan Bogor Edinburgh (2016);153;29;11;2016;;<NA>;E;E;E01122211;0;0;0;;;0;;;;0;0;0;E01122211;153;;East Kalimantan Bogor Edinburgh (2016);<NA>; (2016);recby_problem
Xylopia heterotricha D.M.Johnson & N.A.Murray;Xylopia;ID;ZO afd. v. Borneo, West Kutei;0.0;116.5;Neth. Ind. For. Service;Neth. Ind. For. Service bb 16521 ;20;3;1932;;<NA>;<NA>;Botany;L.4370524;0;0;0;Neth;;0;;;;0;0;0;L4370524;16521;heterotricha;Neth. Ind. For. Service;"Johnson DM; Murray NA";Neth. Ind. For. Service;recby_problem
Huberantha rumphii (Blume ex Hensch.) Chaowasku;Hubera;ID;Jambi, Bukit Duabelas National Park;-1.85;102.650002;<NA>;;;;;;<NA>;<NA>;<NA>;KR2993;0;0;0;;;0;;;;0;0;0;KR2993;nan;rumphii;<NA>;Katja Rembold;<NA>;recby_problem
Popowia pisocarpa K.Schum.;Popowia;ID;Jambi, Bukit Duabelas National Park;-1.85;102.650002;<NA>;;;;;;<NA>;<NA>;<NA>;KR2398;0;0;0;;;0;;;;0;0;0;KR2398;nan;pisocarpa;<NA>;Katja Rembold;<NA>;recby_problem
Annonaceae;<NA>;ID;Jambi, Bukit Duabelas National Park;-1.85;102.650002;<NA>;;;;;;<NA>;<NA>;<NA>;KR1925;0;0;0;;;0;;;;0;0;0;KR1925;nan;;<NA>;Katja Rembold;<NA>;recby_problem
Uvaria excelsa (Hook.f. & Thomson) King;Uvaria;ID;Jambi, Bukit Duabelas National Park;-1.85;102.650002;<NA>;;;;;;<NA>;<NA>;<NA>;KR1506;0;0;0;;;0;;;;0;0;0;KR1506;nan;excelsa;<NA>;Katja Rembold;<NA>;recby_problem
Annonaceae;<NA>;ID;Jambi, Bukit Duabelas National Park;-1.85;102.650002;<NA>;;;;;;<NA>;<NA>;<NA>;KR2035;0;0;0;;;0;;;;0;0;0;KR2035;nan;;<NA>;Katja Rembold;<NA>;recby_problem
Annonaceae;<NA>;ID;Jambi, Bukit Duabelas National Park;-1.85;102.650002;<NA>;;;;;;<NA>;<NA>;<NA>;KR1465;0;0;0;;;0;;;;0;0;0;KR1465;nan;;<NA>;Katja Rembold;<NA>;recby_problem
Orophea corymbosa (Blume) Miq.;Orophea;ID;Jambi, Bukit Duabelas National Park;-1.85;102.650002;<NA>;;;;;;<NA>;<NA>;<NA>;KR2855;0;0;0;;;0;;;;0;0;0;KR2855;nan;corymbosa;<NA>;Katja Rembold;<NA>;recby_problem
Uvaria lobbiana Hook.f. & Thomson;Uvaria;ID;Jambi, Bukit Duabelas National Park;-1.85;102.650002;<NA>;;;;;;<NA>;<NA>;<NA>;KR2473;0;0;0;;;0;;;;0;0;0;KR2473;nan;lobbiana;<NA>;Katja Rembold;<NA>;recby_problem
Polyalthia microtus Miq.;Polyalthia;ID;Jambi, Bukit Duabelas National Park;-1.85;102.650002;<NA>;;;;;;<NA>;<NA>;<NA>;KR2351;0;0;0;;;0;;;;0;0;0;KR2351;nan;microtus;<NA>;Katja Rembold;<NA>;recby_problem
Xylopia malayana Hook.f. & Thomson;Xylopia;ID;Jambi, Bukit Duabelas National Park;-1.85;102.650002;<NA>;;;;;;<NA>;<NA>;<NA>;KR0893;0;0;0;;;0;;;;0;0;0;KR0893;nan;malayana;<NA>;Katja Rembold;<NA>;recby_problem
Uvaria excelsa (Hook.f. & Thomson) King;Uvaria;ID;Jambi, Bukit Duabelas National Park;-1.85;102.650002;<NA>;;;;;;<NA>;<NA>;<NA>;KR0939;0;0;0;;;0;;;;0;0;0;KR0939;nan;excelsa;<NA>;Katja Rembold;<NA>;recby_problem
Neo-Uvaria acuminatissima (Miq.) Airy Shaw;Neo-Uvaria;ID;Jambi, Bukit Duabelas National Park;-1.85;102.650002;<NA>;;;;;;<NA>;<NA>;<NA>;KR2335;0;0;0;;;0;;;;0;0;0;KR2335;nan;acuminatissima;<NA>;Katja Rembold;<NA>;recby_problem
Annonaceae;<NA>;ID;Jambi, Bukit Duabelas National Park;-1.85;102.650002;<NA>;;;;;;<NA>;<NA>;<NA>;KR2096;0;0;0;;;0;;;;0;0;0;KR2096;nan;;<NA>;Katja Rembold;<NA>;recby_problem
Friesodielsia borneensis (Miq.) Steenis;Friesodielsia;ID;Jambi, Bukit Duabelas National Park;-1.85;102.650002;<NA>;;;;;;<NA>;<NA>;<NA>;KR3114;0;0;0;;;0;;;;0;0;0;KR3114;nan;borneensis;<NA>;Katja Rembold;<NA>;recby_problem
Friesodielsia borneensis (Miq.) Steenis;Friesodielsia;ID;Jambi, Bukit Duabelas National Park;-1.85;102.650002;<NA>;;;;;;<NA>;<NA>;<NA>;KR3113;0;0;0;;;0;;;;0;0;0;KR3113;nan;borneensis;<NA>;Katja Rembold;<NA>;recby_problem
Goniothalamus macrophyllus (Blume) Hook.f. & Thomson;Goniothalamus;ID;Jambi, Bukit Duabelas National Park;-1.85;102.650002;<NA>;;;;;;<NA>;<NA>;<NA>;KR1969;0;0;0;;;0;;;;0;0;0;KR1969;nan;macrophyllus;<NA>;Katja Rembold;<NA>;recby_problem
Annonaceae;<NA>;ID;Jambi, Bukit Duabelas National Park;-1.85;102.650002;<NA>;;;;;;<NA>;<NA>;<NA>;KR2354;0;0;0;;;0;;;;0;0;0;KR2354;nan;;<NA>;Katja Rembold;<NA>;recby_problem
