;scientific_name;genus;species-tobesplit;country_id;locality;ddlat;ddlong;recorded_by;colnum;col_day;col_month;col_year;det_by;det_date;institute;herbarium_code;barcode;specificEpithet;species_author;collector_id;prefix;sufix;col_date;det_day;det_month;det_year;country;continent;coordinate_id;prel_bc;prel_herbCode;prel_code;prel_code_X
0;Phaeanthus splendens Miq.;Phaeanthus;Phaeanthus splendens;ID;Jambi, Bukit Duabelas National Park;-1.85;102.650002;;;;;;Katja Rembold;;;;KR1924;0;0;0;0;0;0;;;;0;0;0;1924;KR;KR;
1;Polyalthia obliqua Hook.f. & Thomson;Polyalthia;Polyalthia obliqua;ID;Jambi, Bukit Duabelas National Park;-1.85;102.650002;;;;;;Katja Rembold;;;;KR1761;0;0;0;0;0;0;;;;0;0;0;1761;KR;KR;
2;Annonaceae;;;ID;Jambi, Bukit Duabelas National Park;-1.85;102.650002;;;;;;Katja Rembold;;;;KR1430;0;0;0;0;0;0;;;;0;0;0;1430;KR;KR;
3;Fissistigma manubriatum (Hook.f. & Thomson) Merr.;Fissistigma;Fissistigma manubriatum;ID;Jambi, Bukit Duabelas National Park;-1.85;102.650002;;;;;;Katja Rembold;;;;KR2090;0;0;0;0;0;0;;;;0;0;0;2090;KR;KR;
4;Anaxagorea borneensis (Becc.) J.Sinclair;Anaxagorea;Anaxagorea borneensis;ZZ;"Sintang, HPH Km 86-85; along river to south.";-0.823889;112.060833;"A.C. Church;Mahyar, U. W.;Hamzah, Amis";Church 1329;5;5;1994;;;MO;MO;101395200;0;0;0;0;0;0;;;;0;0;0;101395200;;;
5;Anaxagorea borneensis (Becc.) J.Sinclair;Anaxagorea;Anaxagorea borneensis;ZZ;Sintang, H.P.H. km 70, NE of camp off main logging roadand enirons. Growing in open disturbed area.;-0.865;112.225;"A.C. Church;Mahyar, Uway Warsita";Church 771;8;4;1994;;;MO;MO;101395218;0;0;0;0;0;0;;;;0;0;0;101395218;;;
6;Anaxagorea borneensis (Becc.) J.Sinclair;Anaxagorea;Anaxagorea borneensis;ZZ;Sintang, H.P.H. km 70, NE of camp off main logging roadand enirons. Growing in open disturbed area.;-0.865;112.225;"A.C. Church;Mahyar, Uway Warsita";Church 725;7;4;1994;;;MO;MO;101395207;0;0;0;0;0;0;;;;0;0;0;101395207;;;
7;Artabotrys gracilis King;Artabotrys;Artabotrys gracilis;ID;Borneo. Bukit Raya Expedition. Borneo, Bukit Raya, Batu Badinging, KCT 47 km. Km 96 ('Tumbang Sahu').;-1.25;113.83;J. F. Veldkamp;8577;7;2;1983;;;US;US;US 3212838;0;0;0;0;0;0;;;;0;0;0;3212838;US;US ;
8;Artabotrys suaveolens (Blume) Blume;Artabotrys;Artabotrys suaveolens;ID;Tigapulu Mts., Riau Province, 5 km W. of Talanglakat on Rengat-Jambi Road, Bukit Karampal area.;-0.77;102.53;J. S. Burley, -. Turkirin & et al.;1902;5;12;1988;;;US;US;US 3253274;0;0;0;0;0;0;;;;0;0;0;3253274;US;US ;
9;Artabotrys suaveolens (Blume) Blume;Artabotrys;Artabotrys suaveolens;ID;Protected forest Wolasi, Wolan Subdistrict, Konawe Selatan District, S.E. Sulawesi.;-4.22572;122.736;E. A. Widjaja, -. Megawati, -. Hamzah & W. Santoso;EAW9472;14;4;2011;;;US;US;US 3665529;0;0;0;0;0;0;;;;0;0;0;3665529;US;US ;
