;scientific_name;genus;country_id;locality;ddlat;ddlong;recorded_by;colnum_full;col_day;col_month;col_year;det_by;det_date;institute;herbarium_code;orig_bc;specificEpithet;species_author;collector_id;prefix;sufix;col_date;det_day;det_month;det_year;country;continent;coordinate_id;barcode;colnum;specific_epithet;orig_recby;orig_detby;to_check;to_check_det
0;Phaeanthus splendens Miq.;Phaeanthus;ID;Jambi, Bukit Duabelas National Park;-1.85;102.650002;ZZZ_THIS_NAME_FAILED;;;;;Katja Rembold;<NA>;<NA>;<NA>;KR1924;0;0;0;;;0;;;;0;0;0;KR1924;nan;splendens;<NA>;Katja Rembold;nan;
1;Polyalthia obliqua Hook.f. & Thomson;Polyalthia;ID;Jambi, Bukit Duabelas National Park;-1.85;102.650002;ZZZ_THIS_NAME_FAILED;;;;;Katja Rembold;<NA>;<NA>;<NA>;KR1761;0;0;0;;;0;;;;0;0;0;KR1761;nan;obliqua;<NA>;Katja Rembold;nan;
2;Annonaceae;<NA>;ID;Jambi, Bukit Duabelas National Park;-1.85;102.650002;ZZZ_THIS_NAME_FAILED;;;;;Katja Rembold;<NA>;<NA>;<NA>;KR1430;0;0;0;;;0;;;;0;0;0;KR1430;nan;;<NA>;Katja Rembold;nan;
3;Fissistigma manubriatum (Hook.f. & Thomson) Merr.;Fissistigma;ID;Jambi, Bukit Duabelas National Park;-1.85;102.650002;ZZZ_THIS_NAME_FAILED;;;;;Katja Rembold;<NA>;<NA>;<NA>;KR2090;0;0;0;;;0;;;;0;0;0;KR2090;nan;manubriatum;<NA>;Katja Rembold;nan;
4;Anaxagorea borneensis (Becc.) J.Sinclair;Anaxagorea;ZZ;"Sintang, HPH Km 86-85; along river to south.";-0.823889;112.060833;Church, AC ;Church 1329;5;5;1994;<NA>;<NA>;MO;MO;101395200;0;0;0;Church;;0;;;;0;0;0;MO101395200;1329;borneensis;"A.C. Church;Mahyar, U. W.;Hamzah, Amis";<NA>;Church, AC ;
5;Anaxagorea borneensis (Becc.) J.Sinclair;Anaxagorea;ZZ;Sintang, H.P.H. km 70, NE of camp off main logging roadand enirons. Growing in open disturbed area.;-0.865;112.225;Church, AC ;Church 771;8;4;1994;<NA>;<NA>;MO;MO;101395218;0;0;0;Church;;0;;;;0;0;0;MO101395218;771;borneensis;"A.C. Church;Mahyar, Uway Warsita";<NA>;Church, AC ;
6;Anaxagorea borneensis (Becc.) J.Sinclair;Anaxagorea;ZZ;Sintang, H.P.H. km 70, NE of camp off main logging roadand enirons. Growing in open disturbed area.;-0.865;112.225;Church, AC ;Church 725;7;4;1994;<NA>;<NA>;MO;MO;101395207;0;0;0;Church;;0;;;;0;0;0;MO101395207;725;borneensis;"A.C. Church;Mahyar, Uway Warsita";<NA>;Church, AC ;
7;Artabotrys gracilis King;Artabotrys;ID;Borneo. Bukit Raya Expedition. Borneo, Bukit Raya, Batu Badinging, KCT 47 km. Km 96 ('Tumbang Sahu').;-1.25;113.83;Veldkamp, JF ;8577;7;2;1983;<NA>;<NA>;US;US;US 3212838;0;0;0;;;0;;;;0;0;0;US3212838;8577;gracilis;J. F. Veldkamp;<NA>;Veldkamp, JF ;
8;Artabotrys suaveolens (Blume) Blume;Artabotrys;ID;Tigapulu Mts., Riau Province, 5 km W. of Talanglakat on Rengat-Jambi Road, Bukit Karampal area.;-0.77;102.53;ZZZ_THIS_NAME_FAILED;1902;5;12;1988;<NA>;<NA>;US;US;US 3253274;0;0;0;;;0;;;;0;0;0;US3253274;1902;suaveolens;J. S. Burley, -. Turkirin & et al.;<NA>;nan;
9;Artabotrys suaveolens (Blume) Blume;Artabotrys;ID;Protected forest Wolasi, Wolan Subdistrict, Konawe Selatan District, S.E. Sulawesi.;-4.22572;122.736;ZZZ_THIS_NAME_FAILED;EAW9472;14;4;2011;<NA>;<NA>;US;US;US 3665529;0;0;0;EAW;;0;;;;0;0;0;US3665529;9472;suaveolens;E. A. Widjaja, -. Megawati, -. Hamzah & W. Santoso;<NA>;nan;
